timestamp,dac,voltage,current,rpm,temperature,do
0.0,3.4093,41.9618,0.8512,81.616,29.9876,6.7033
5.0,3.0105,34.8911,0.7291,60.8818,29.8843,7.1476
10.0,3.1336,37.3635,0.7412,66.5582,30.138,7.0513
15.0,2.802,31.3141,0.6895,50.8932,29.9924,7.2618
20.0,3.0178,33.8414,0.7202,61.4363,29.4647,7.1382
25.0,3.2535,38.9421,0.7863,72.9572,29.6648,6.8258
30.0,3.2142,38.5495,0.7933,72.3771,29.8025,6.8606
35.0,3.1018,36.8315,0.7392,66.556,29.8979,7.0022
40.0,3.3235,40.1806,0.8286,76.9999,29.892,6.8137
45.0,3.1441,36.826,0.7563,68.3993,30.8908,7.0018
50.0,3.2376,38.5859,0.7776,72.9199,30.0294,6.8994
55.0,3.1475,36.6987,0.7827,68.7979,30.2121,7.1612
60.0,3.3056,40.347,0.8222,75.7881,30.0512,6.8053
65.0,2.9896,33.8834,0.6959,58.6738,29.9902,7.2063
70.0,3.281,38.9684,0.8018,75.1311,29.6962,6.7528
75.0,3.3434,40.248,0.823,77.1287,30.0626,6.9112
80.0,2.8644,31.8758,0.6769,53.1857,29.7682,7.2423
85.0,2.9303,33.2754,0.6954,55.6486,29.7096,7.2566
90.0,3.2629,38.6877,0.7907,72.6197,29.7171,6.8901
95.0,2.7339,30.3549,0.683,48.6212,29.7772,7.2849
100.0,2.8202,31.4931,0.6853,51.693,30.3656,7.2792
105.0,2.6796,28.4196,0.6547,44.2579,29.5137,7.2929
110.0,2.9101,32.9257,0.7032,55.8792,30.0012,7.1434
115.0,3.0004,34.6465,0.7252,62.5475,29.4748,7.0724
120.0,2.7844,30.9585,0.6671,50.1828,29.6146,7.1057
125.0,2.9975,34.2909,0.7225,59.8215,30.1566,6.9518
130.0,2.7707,31.02,0.6791,50.4695,29.8962,7.172
135.0,2.828,31.48,0.6896,52.5857,29.668,7.0664
140.0,3.0231,35.0441,0.7274,62.9623,29.6112,6.9461
145.0,2.9282,33.3185,0.7189,58.4127,29.9875,7.006
150.0,2.538,26.5986,0.616,38.5222,29.7144,7.358
155.0,2.9048,32.4885,0.6818,55.7346,29.8783,6.9734
160.0,2.5108,26.2276,0.6243,37.8072,29.8937,7.3574
165.0,2.8103,31.1516,0.6803,52.1137,29.777,7.014
170.0,2.8005,31.0278,0.6817,50.1861,30.3402,7.0877
175.0,2.6353,28.2482,0.6348,43.5047,29.9083,7.2563
180.0,2.8202,31.3231,0.695,51.8737,29.4269,6.9743
185.0,2.5307,26.0147,0.6178,38.4781,29.9219,7.2471
190.0,2.6514,28.3005,0.6218,44.4016,29.7179,7.1427
195.0,2.663,28.7405,0.6548,45.4916,30.15,7.0931
200.0,2.6094,27.9825,0.6238,41.9953,29.7208,7.0712
205.0,2.5319,26.2821,0.6339,38.3307,29.9363,7.0721
210.0,2.6906,29.4116,0.6361,44.5753,30.029,6.9374
215.0,2.6272,27.4431,0.6244,41.3042,30.2077,7.02
220.0,2.484,25.9928,0.6138,38.7018,29.5851,7.2085
225.0,2.129,19.4105,0.5566,22.2969,29.7407,7.4215
230.0,2.6326,28.7083,0.6436,45.3544,29.9209,6.994
235.0,2.2658,21.5337,0.5486,27.3073,29.7406,7.2085
240.0,2.317,22.5135,0.5671,27.0659,30.3153,7.2205
245.0,2.597,27.5496,0.6484,41.6827,30.0194,6.9121
250.0,2.178,20.3381,0.5434,25.4357,29.5835,7.269
255.0,2.3581,22.6372,0.597,32.8146,30.2928,7.0685
260.0,2.2979,21.7273,0.5662,29.6694,30.3328,7.1297
265.0,2.1069,19.5044,0.5466,22.4587,30.1726,7.2434
270.0,2.1316,18.6454,0.5362,22.8976,29.4968,7.1909
275.0,2.415,24.1533,0.6034,33.9982,29.731,6.9252
280.0,2.1468,19.956,0.5587,25.0035,30.1385,7.1806
285.0,2.3021,22.6165,0.6042,31.6734,29.6382,6.9777
290.0,2.1984,20.2748,0.56,27.1741,30.0091,7.1349
295.0,2.1733,20.2507,0.5331,23.0081,30.1003,7.0952
300.0,2.0753,18.1151,0.5422,21.0953,29.6856,7.2488
305.0,2.1687,19.9081,0.5623,24.9462,29.9317,7.112
310.0,2.6936,29.8613,0.6656,46.0731,29.0713,6.641
315.0,2.145,19.2465,0.5417,23.4834,29.5762,7.1772
320.0,2.5061,25.9169,0.6198,37.4446,29.9493,6.826
325.0,2.5073,25.1037,0.6074,37.127,29.6159,6.8435
330.0,2.3252,22.5322,0.5699,29.409,30.377,7.041
335.0,2.2198,20.3787,0.5587,24.8975,29.5665,7.0952
340.0,2.7772,31.3442,0.6537,50.3206,29.7959,6.6805
345.0,2.6138,27.8293,0.6214,41.0655,29.8789,6.8098
350.0,2.6348,28.4896,0.6519,44.7258,30.1416,6.8117
355.0,2.3344,22.3512,0.592,30.1216,29.5518,7.1427
360.0,2.3189,21.9091,0.5823,29.1949,30.1128,7.151
365.0,2.438,24.8256,0.5994,34.9783,29.7798,6.948
370.0,2.4442,24.7672,0.5944,35.5193,29.6318,6.9632
375.0,2.8631,32.0917,0.6957,52.5904,30.0382,6.7303
380.0,2.8373,31.2471,0.679,52.1669,29.8662,6.6316
385.0,2.6134,28.0176,0.6388,42.3696,29.7682,6.9049
390.0,2.5386,26.261,0.6115,38.6073,29.9421,6.9519
395.0,2.8403,31.6343,0.7025,53.2173,29.7565,6.6166
400.0,2.689,28.4299,0.6222,44.8901,29.8896,6.964
405.0,2.9819,34.4692,0.7056,60.1232,30.014,6.7669
410.0,2.7339,29.8305,0.6559,49.404,30.3103,6.93
415.0,2.9422,33.4303,0.7196,59.6572,29.4397,6.8044
420.0,3.0024,34.6233,0.6965,59.8893,30.3449,6.7316
425.0,3.2319,39.2544,0.7925,71.9404,29.3261,6.5262
430.0,2.8851,32.4176,0.725,55.5329,29.8659,6.8874
435.0,3.033,35.0905,0.7429,63.128,30.0151,6.8229
440.0,2.7696,30.926,0.649,48.6363,29.8461,7.0818
445.0,2.7024,29.3533,0.6422,45.9635,29.6505,7.0641
450.0,2.9844,34.3676,0.7332,60.287,29.8589,6.8367
455.0,2.7195,29.5325,0.6648,48.2333,29.7341,6.9643
460.0,3.2797,39.6661,0.8027,75.6466,29.7675,6.6252
465.0,2.8298,31.5996,0.6721,51.7195,30.1682,7.1066
470.0,2.9417,33.9221,0.7067,58.4373,29.9117,6.8975
475.0,2.9413,33.3956,0.693,57.526,29.5774,6.9473
480.0,2.8076,31.6562,0.7008,51.8269,30.1614,7.2282
485.0,2.8975,31.9685,0.6931,54.5524,29.9151,7.0132
490.0,2.743,29.6593,0.6408,47.5641,30.0566,7.1584
495.0,2.675,29.2573,0.6482,43.6435,30.0022,7.1299
