timestamp,dac,voltage,current,rpm,temperature,do
0.0,3.8784,49.6691,1.0494,108.335,28.9997,4.4014
5.0,3.8799,50.1802,1.0388,109.6078,30.0805,4.4069
10.0,3.8795,49.9488,1.031,109.8088,29.8353,4.4127
15.0,3.8791,50.0344,1.0345,108.8815,29.6672,4.4244
20.0,3.8792,49.9847,1.054,110.4673,29.7714,4.4307
25.0,3.8794,49.6039,1.0485,109.2306,29.613,4.3995
30.0,3.8798,49.7156,1.0327,109.4049,29.8545,4.3896
35.0,3.8795,50.4072,1.0473,110.5313,29.6544,4.3929
40.0,3.8803,49.9794,1.0377,110.147,29.9263,4.3503
45.0,3.8804,49.5183,1.0574,109.9166,30.0297,4.3531
50.0,3.8799,50.2705,1.0396,110.3606,29.594,4.3512
55.0,3.8805,49.7573,1.0332,109.8721,29.8994,4.3239
60.0,3.8804,49.9286,1.0447,110.4219,29.8828,4.3317
65.0,3.8807,49.9302,1.0531,109.5291,29.9317,4.3094
70.0,3.8801,49.4389,1.0362,108.8718,29.4956,4.3131
75.0,3.8802,49.8221,1.0251,109.02,29.6272,4.317
80.0,3.9615,49.1492,1.1584,111.3961,26.0714,3.4997
85.0,3.881,50.3809,1.0461,110.2818,30.1631,4.2993
90.0,3.8802,49.6236,1.0461,110.8721,29.5721,4.3109
95.0,3.8797,49.891,1.0562,110.7563,29.1493,4.3119
100.0,3.8809,50.0024,1.0599,111.15,30.0045,4.2907
105.0,3.8805,50.1834,1.0433,110.3706,29.6475,4.289
110.0,3.8807,50.2268,1.0486,108.327,29.8746,4.2954
115.0,3.8806,49.5341,1.0312,109.7959,29.7191,4.2844
120.0,3.881,49.6164,1.0652,110.0469,30.0618,4.2905
125.0,3.8811,49.8691,1.037,109.1656,30.0391,4.2738
130.0,3.8814,49.5297,1.046,110.2066,30.3626,4.2694
135.0,3.881,50.0001,1.0463,110.0199,29.7006,4.2401
140.0,3.8809,49.4959,1.0408,108.7927,29.5686,4.2401
145.0,3.881,50.302,1.026,109.3021,29.4633,4.2054
150.0,3.8815,49.6738,1.0569,111.4339,29.721,4.1789
155.0,3.8816,49.6063,1.0379,110.1111,29.7927,4.1734
160.0,3.8815,50.123,1.0546,109.1104,29.726,4.1781
165.0,3.8817,49.9949,1.0359,109.8019,29.8807,4.1719
170.0,3.8812,50.0816,1.0275,109.3651,29.5442,4.1927
175.0,3.8813,49.8655,1.0355,109.5083,29.6127,4.1904
180.0,3.8814,50.4201,1.0172,108.6934,29.5925,4.1717
185.0,3.8814,50.2574,1.0297,109.9984,29.632,4.1777
190.0,3.8815,49.6096,1.0536,109.069,29.6415,4.1661
195.0,3.8816,50.0649,1.0344,109.2993,29.5413,4.1373
200.0,3.8824,50.1565,1.0327,109.8408,30.304,4.1148
205.0,3.882,49.7936,1.0522,110.1869,29.8951,4.1254
210.0,3.8819,50.2102,1.0603,110.2038,29.7657,4.1224
215.0,3.882,49.6164,1.0567,110.1736,29.9565,4.1317
