timestamp,dac,voltage,current,rpm,temperature,do
0.0,3.8344,49.4795,1.0153,106.9117,29.9684,5.5211
5.0,3.8354,48.8002,1.0132,107.3474,29.6939,5.5623
10.0,3.8458,49.6112,1.0351,108.0869,30.4397,5.5832
15.0,3.8449,49.4117,1.0279,107.2945,30.0991,5.618
20.0,3.8486,49.5493,1.0441,108.4578,29.9509,5.6059
25.0,3.8483,49.5889,1.0322,107.8266,29.9121,5.6158
30.0,3.8478,49.9191,1.0278,108.0446,29.9388,5.6117
35.0,3.8443,48.6613,1.0049,106.4814,29.7141,5.5956
40.0,3.8427,48.9207,1.0239,107.9571,29.8897,5.5725
45.0,3.8411,49.3009,1.0108,106.4434,29.945,5.5268
50.0,3.8381,49.0239,1.0221,106.9982,29.9774,5.485
55.0,3.8291,49.2047,1.041,107.7782,29.9345,5.4958
60.0,3.8233,48.6579,1.0006,105.7994,29.6824,5.4694
65.0,3.8165,48.6895,0.9998,106.4045,29.3672,5.4571
70.0,3.8188,48.6773,1.0283,105.9628,29.5357,5.4184
75.0,3.8213,48.2077,1.0175,106.6583,30.1018,5.4237
80.0,3.8199,49.3238,1.0113,106.1416,29.933,5.4362
85.0,3.8204,48.907,1.0156,107.4823,29.8256,5.4567
90.0,3.8227,49.1041,1.0144,108.0068,29.5788,5.4675
95.0,3.8262,48.9519,1.0224,107.6969,29.8146,5.5152
100.0,3.829,48.3735,1.0095,106.5293,29.5487,5.5403
105.0,3.8374,49.0379,1.011,106.9759,29.7734,5.5506
110.0,3.8459,49.2427,1.0578,108.5903,29.8943,5.5417
115.0,3.8479,49.155,1.0361,108.96,29.9007,5.5735
120.0,3.8504,49.0117,1.0137,106.7792,30.2538,5.6093
125.0,3.8498,49.4883,1.0312,108.0145,29.6694,5.5843
130.0,3.8506,49.5051,1.0291,108.0175,29.8025,5.5732
135.0,3.846,49.3167,1.0234,107.2742,29.6558,5.5734
140.0,3.8453,49.4088,1.0164,107.2427,29.6588,5.5293
145.0,3.8434,49.6542,1.0218,105.8214,29.9591,5.5037
150.0,3.8353,48.9222,1.0267,107.5781,29.4833,5.4751
155.0,3.8366,49.5489,1.0164,108.0016,30.0271,5.4275
160.0,3.83,48.8856,1.0086,106.6406,29.7366,5.406
165.0,3.8295,49.0583,1.0229,106.3606,29.7838,5.3603
170.0,3.8289,49.0494,1.006,107.1534,29.8272,5.3334
175.0,3.8275,48.4056,1.0264,107.1161,29.632,5.3211
180.0,3.8322,48.8943,1.026,106.649,30.0071,5.3068
185.0,3.8325,49.2839,1.0197,107.2935,29.7228,5.3184
190.0,3.8365,49.2153,1.0198,106.9071,29.9541,5.3482
195.0,3.8384,49.2472,0.9946,106.0935,29.7985,5.3874
200.0,3.8418,48.624,1.0134,107.0641,29.9682,5.4421
205.0,3.8472,48.7296,1.0411,108.1855,30.0125,5.465
210.0,3.8494,49.4514,1.0352,110.1506,30.0476,5.5147
215.0,3.8499,49.6747,1.0173,106.4746,29.7753,5.5438
220.0,3.8529,49.5757,1.0442,108.5291,30.1497,5.5756
225.0,3.8518,49.5762,1.0498,107.3885,29.9687,5.5857
230.0,3.8524,49.8458,1.0482,107.0013,30.1991,5.5851
235.0,3.8453,49.3648,1.037,107.1968,29.4823,5.5672
240.0,3.844,49.6306,1.0292,108.7098,29.6212,5.5393
