timestamp,dac,voltage,current,rpm,temperature,do
0.0,3.83,49.5,1.02,107.0,30.0,5.5
5.0,3.83,48.7,1.01,107.0,29.6,5.5
10.0,3.84,49.5,1.03,107.5,30.4,5.5
15.0,3.83,49.2,1.02,107.0,30.0,5.5
20.0,3.83,49.3,1.04,108.0,29.8,5.5
25.0,3.83,49.3,1.02,107.0,29.8,5.5
30.0,3.83,49.7,1.02,107.5,29.8,5.5
35.0,3.83,48.5,1.0,106.0,29.6,5.5
40.0,3.83,48.8,1.02,107.5,29.8,5.5
45.0,3.84,49.2,1.01,106.5,29.9,5.5
50.0,3.84,49.0,1.02,107.0,30.0,5.5
55.0,3.83,49.3,1.04,108.0,30.0,5.5
60.0,3.83,48.8,1.01,106.0,29.8,5.5
65.0,3.83,48.9,1.01,107.0,29.5,5.5
70.0,3.83,48.9,1.04,106.5,29.7,5.5
75.0,3.84,48.5,1.03,107.5,30.3,5.5
80.0,3.83,49.6,1.02,106.5,30.1,5.5
85.0,3.83,49.1,1.02,108.0,29.9,5.5
90.0,3.83,49.3,1.02,108.5,29.7,5.5
95.0,3.83,49.0,1.02,108.0,29.9,5.5
100.0,3.83,48.4,1.01,106.5,29.5,5.5
105.0,3.83,49.0,1.01,107.0,29.7,5.5
110.0,3.84,49.1,1.05,108.0,29.8,5.5
115.0,3.84,49.0,1.03,108.5,29.8,5.5
120.0,3.84,48.8,1.01,106.0,30.1,5.5
125.0,3.83,49.2,1.02,107.5,29.5,5.5
130.0,3.84,49.3,1.02,107.5,29.7,5.5
135.0,3.83,49.1,1.02,107.0,29.5,5.5
140.0,3.84,49.3,1.01,107.0,29.6,5.5
145.0,3.84,49.6,1.02,105.5,29.9,5.5
150.0,3.84,48.9,1.03,107.5,29.5,5.5
155.0,3.84,49.6,1.02,108.0,30.1,5.5
160.0,3.84,49.0,1.01,107.0,29.8,5.5
165.0,3.84,49.3,1.03,107.0,29.9,5.4
170.0,3.84,49.3,1.01,107.5,30.0,5.4
175.0,3.84,48.7,1.03,107.5,29.8,5.4
180.0,3.85,49.1,1.03,107.0,30.1,5.4
185.0,3.84,49.5,1.03,108.0,29.8,5.4
190.0,3.85,49.4,1.02,107.5,30.0,5.4
195.0,3.84,49.3,1.0,106.5,29.8,5.4
200.0,3.84,48.6,1.01,107.0,30.0,5.4
205.0,3.84,48.7,1.04,108.0,30.0,5.4
210.0,3.84,49.3,1.03,110.0,30.0,5.5
215.0,3.84,49.5,1.01,106.0,29.7,5.5
220.0,3.84,49.3,1.04,108.0,30.0,5.5
225.0,3.84,49.3,1.04,107.0,29.8,5.5
230.0,3.84,49.6,1.04,106.5,30.1,5.5
235.0,3.83,49.2,1.03,106.5,29.4,5.5
240.0,3.84,49.5,1.02,108.5,29.5,5.5
245.0,3.84,49.2,1.02,108.0,30.0,5.5
250.0,3.84,48.9,1.01,106.5,30.4,5.5
255.0,3.84,49.0,1.03,108.0,30.1,5.5
260.0,3.84,49.1,1.02,106.5,29.7,5.5
265.0,3.83,49.3,1.01,106.0,29.5,5.5
270.0,3.84,49.1,1.02,105.5,30.1,5.5
275.0,3.84,49.3,1.03,107.5,29.9,5.5
280.0,3.84,49.4,1.04,106.0,30.0,5.5
285.0,3.84,49.3,1.02,107.5,29.9,5.5
290.0,3.83,49.2,1.02,108.5,29.9,5.5
295.0,3.84,49.1,1.01,107.5,30.6,5.5
300.0,3.84,49.2,1.03,107.5,29.9,5.5
305.0,3.84,49.6,1.02,107.5,29.9,5.5
310.0,3.84,48.6,1.03,107.0,29.9,5.5
315.0,3.84,49.5,1.03,107.5,29.7,5.4
320.0,3.84,49.8,1.0,106.0,30.1,5.4
325.0,3.84,49.7,1.03,110.0,29.8,5.4
330.0,3.85,49.0,1.04,108.0,30.0,5.4
335.0,3.84,49.1,1.02,108.0,30.0,5.4
340.0,3.85,49.0,1.03,108.5,30.2,5.4
345.0,3.85,49.3,1.04,106.0,30.0,5.4
350.0,3.84,48.9,1.02,106.5,29.6,5.4
355.0,3.84,49.0,1.0,106.5,29.6,5.4
360.0,3.85,49.6,1.02,107.0,30.2,5.4
365.0,3.85,49.9,1.03,107.0,29.7,5.4
370.0,3.85,49.2,1.02,107.5,29.6,5.4
375.0,3.85,49.2,1.02,108.0,29.7,5.3
380.0,3.85,49.6,1.01,107.5,30.2,5.4
385.0,3.85,49.2,1.02,108.0,29.5,5.3
390.0,3.85,50.0,1.03,107.0,29.7,5.4
395.0,3.85,49.2,1.02,108.0,29.7,5.4
400.0,3.84,49.4,1.04,108.5,29.6,5.4
405.0,3.84,49.1,1.03,107.5,29.6,5.4
410.0,3.84,49.5,1.01,106.5,29.5,5.4
415.0,3.84,49.0,1.01,107.0,29.7,5.4
420.0,3.85,49.4,1.0,106.0,29.8,5.4
425.0,3.85,49.3,1.03,109.5,29.7,5.4
430.0,3.84,49.3,1.02,107.5,29.4,5.4
435.0,3.85,49.5,1.04,108.0,30.2,5.4
440.0,3.85,49.7,1.03,107.0,29.5,5.4
445.0,3.85,49.1,1.04,108.0,29.9,5.4
450.0,3.85,49.0,1.03,108.0,29.6,5.4
455.0,3.85,49.7,1.04,108.5,30.0,5.4
460.0,3.85,48.8,1.05,108.0,30.1,5.4
465.0,3.84,48.8,1.04,108.0,29.6,5.4
470.0,3.84,48.8,1.04,107.0,29.4,5.4
475.0,3.84,49.6,1.0,106.0,30.0,5.4
480.0,3.84,48.8,1.0,106.5,30.3,5.4
485.0,3.84,49.0,1.03,107.0,29.9,5.4
490.0,3.84,49.5,1.04,106.5,29.9,5.4
495.0,3.84,49.3,1.02,107.5,30.0,5.4
500.0,3.84,48.9,1.04,108.0,30.0,5.4
505.0,3.84,49.3,1.04,109.0,29.6,5.4
510.0,3.84,49.1,1.04,108.5,29.7,5.4
515.0,3.84,49.1,1.03,107.0,30.0,5.4
520.0,3.84,49.2,1.03,107.5,29.8,5.5
525.0,3.84,48.7,1.02,106.5,30.1,5.4
530.0,3.84,48.6,1.02,106.5,29.6,5.4
535.0,3.84,48.8,1.01,106.5,30.0,5.4
540.0,3.84,48.9,1.03,107.5,29.9,5.4
545.0,3.84,49.1,1.02,107.0,29.8,5.4
550.0,3.84,49.4,1.04,108.5,30.1,5.4
555.0,3.84,49.6,1.03,109.0,30.0,5.4
560.0,3.84,48.6,1.04,107.5,29.5,5.5
565.0,3.84,49.1,1.0,106.0,29.9,5.5
570.0,3.84,49.4,1.03,106.5,30.1,5.4
575.0,3.84,49.8,1.01,106.5,29.7,5.5
580.0,3.84,49.0,1.01,106.5,29.7,5.5
585.0,3.83,48.8,1.01,107.0,29.6,5.5
590.0,3.83,49.5,1.0,106.5,29.8,5.5
595.0,3.83,49.1,1.0,106.5,29.9,5.5
600.0,3.83,49.4,1.01,106.0,29.6,5.5
605.0,3.83,49.1,1.01,105.5,29.4,5.5
610.0,3.83,49.2,1.03,105.5,29.7,5.5
615.0,3.83,49.1,1.01,107.5,29.4,5.5
620.0,3.83,48.9,1.04,106.5,29.9,5.5
625.0,3.83,48.9,1.02,106.5,29.6,5.5
630.0,3.82,49.1,1.03,106.5,29.3,5.6
635.0,3.83,48.7,1.01,106.0,29.7,5.6
640.0,3.83,49.9,1.02,108.5,29.7,5.5
645.0,3.83,49.1,1.02,107.0,29.8,5.6
650.0,3.83,49.7,1.01,107.0,29.7,5.6
655.0,3.83,49.1,1.0,105.0,30.2,5.6
660.0,3.82,49.2,1.01,107.5,29.6,5.6
665.0,3.83,49.0,1.02,106.0,29.7,5.6
670.0,3.83,48.8,1.01,106.5,29.7,5.6
675.0,3.83,48.8,1.03,106.0,29.6,5.5
680.0,3.83,49.2,1.02,106.5,29.7,5.5
685.0,3.84,49.1,1.02,108.5,29.8,5.5
690.0,3.83,49.3,1.03,106.0,30.0,5.5
695.0,3.83,48.8,1.02,107.5,29.3,5.5
700.0,3.84,48.9,1.02,106.0,29.6,5.5
705.0,3.84,49.2,1.02,107.0,29.6,5.5
710.0,3.84,48.8,1.04,108.0,29.9,5.4
715.0,3.84,49.1,1.01,107.0,29.6,5.4
720.0,3.84,49.1,1.01,107.5,29.2,5.4
725.0,3.84,49.4,1.02,107.5,29.7,5.4
730.0,3.84,49.2,1.03,108.5,29.7,5.4
735.0,3.84,49.3,1.01,108.0,29.7,5.4
740.0,3.84,49.1,1.03,108.5,29.4,5.4
745.0,3.85,49.4,1.04,108.5,30.1,5.3
750.0,3.85,48.9,1.01,109.0,29.6,5.3
755.0,3.85,49.6,1.01,107.5,29.6,5.3
760.0,3.85,49.5,1.03,108.0,29.4,5.3
765.0,3.85,49.4,1.02,107.5,29.4,5.3
