timestamp,dac,voltage,current,rpm,temperature,do
0.0,3.1754,37.5866,0.7709,68.9291,29.8821,7.0122
5.0,3.1492,37.2978,0.7743,68.44,29.9467,7.0436
10.0,3.1516,37.5589,0.7511,67.3955,30.091,7.0472
15.0,3.1869,38.0001,0.7864,70.0346,30.0972,7.0167
20.0,3.1541,36.4517,0.7629,68.862,29.5027,7.0427
25.0,3.1891,37.7327,0.7686,69.7723,29.6257,7.0167
30.0,3.2006,38.1964,0.788,71.0668,30.0017,7.0203
35.0,3.1874,38.2961,0.7615,71.0394,30.0139,7.0415
40.0,3.1667,37.4508,0.7813,69.1472,30.0263,7.0681
45.0,3.1753,37.4192,0.7598,69.7124,30.8725,7.0793
50.0,3.1549,36.8833,0.7477,67.6964,30.0634,7.0869
55.0,3.1571,37.0242,0.7914,69.0856,30.2154,7.0896
60.0,3.1417,37.5363,0.7731,67.2737,30.1805,7.1052
65.0,3.1382,36.7026,0.7378,66.469,30.1147,7.1081
70.0,3.1127,35.9558,0.7612,66.0949,29.8824,7.1277
75.0,3.0994,36.2258,0.7582,65.092,30.1598,7.1426
80.0,3.0525,35.1481,0.7255,62.5322,29.7851,7.1754
85.0,3.0597,35.4401,0.735,62.1755,29.9268,7.1643
90.0,3.0583,35.0733,0.7355,61.8552,29.8717,7.1581
95.0,3.032,35.1775,0.7551,62.3162,30.0199,7.1772
100.0,3.011,34.8458,0.7324,60.6921,30.5839,7.1947
105.0,2.9847,33.9092,0.7316,58.7291,29.5436,7.1946
110.0,2.9613,33.9109,0.724,58.8116,30.1864,7.2111
115.0,2.9296,33.1374,0.7061,57.985,29.6154,7.2192
120.0,2.9029,33.0218,0.7019,56.0231,29.9037,7.2302
125.0,2.8843,32.1451,0.6945,55.0012,30.2964,7.2332
130.0,2.8444,32.0553,0.6977,54.0621,30.0419,7.2466
135.0,2.8183,31.3515,0.6968,52.5296,29.7575,7.2474
140.0,2.806,31.2381,0.6833,51.5253,29.8485,7.2383
145.0,2.7796,30.9143,0.6883,50.6509,30.1969,7.2421
150.0,2.758,30.3563,0.672,47.9958,29.8435,7.2376
155.0,2.723,29.4922,0.6428,47.5014,30.0786,7.246
160.0,2.7294,29.9996,0.6726,47.2938,30.0336,7.2193
165.0,2.7002,29.2344,0.6603,47.0532,29.8565,7.2218
170.0,2.6948,29.3629,0.6668,45.3387,30.5519,7.2077
175.0,2.6683,28.7536,0.6437,44.6338,30.1703,7.2077
180.0,2.6509,28.5159,0.6568,44.6333,29.501,7.2005
185.0,2.6135,27.3231,0.6367,41.6427,30.0487,7.2102
190.0,2.5731,26.9439,0.6106,40.7414,29.831,7.2204
195.0,2.5446,26.4292,0.6236,40.0145,30.2034,7.2184
200.0,2.5278,26.4297,0.6084,37.7289,29.7855,7.2078
205.0,2.5166,25.7991,0.6325,37.4608,29.9479,7.1915
210.0,2.493,25.8343,0.5951,35.7047,30.0954,7.186
215.0,2.4882,25.4287,0.6027,36.4448,30.1778,7.166
220.0,2.467,25.5144,0.6028,37.4465,29.6532,7.1627
225.0,2.4608,25.2096,0.6072,35.1206,29.8612,7.1445
