timestamp,dac,voltage,current,rpm,temperature,do
0.0,3.1754,37.5866,0.7709,68.9291,29.8821,7.0122
5.0,3.1529,37.3593,0.7763,68.5878,29.9836,7.0682
10.0,3.1585,37.6745,0.7548,67.673,30.1603,7.0934
15.0,3.1963,38.1555,0.7914,70.4076,30.1904,7.0788
20.0,3.1646,36.6273,0.7685,69.2834,29.608,7.1129
25.0,3.1995,37.9055,0.7741,70.1869,29.7293,7.0858
30.0,3.2093,38.3422,0.7927,71.4166,30.0892,7.0786
35.0,3.1932,38.3919,0.7646,71.2693,30.0714,7.0798
40.0,3.1683,37.4773,0.7822,69.2108,30.0422,7.0787
45.0,3.1719,37.3624,0.758,69.5763,30.8385,7.0566
50.0,3.1461,36.7364,0.743,67.3437,29.9752,7.0281
55.0,3.1429,36.7876,0.7838,68.5177,30.0735,6.995
60.0,3.1226,37.2182,0.7629,66.5103,29.9896,6.978
65.0,3.1152,36.3181,0.7255,65.5462,29.884,6.9543
70.0,3.0869,35.5254,0.7474,65.0619,29.6242,6.9556
75.0,3.0723,35.7735,0.7438,64.0066,29.8885,6.9617
80.0,3.0256,34.6993,0.7111,61.455,29.5158,6.9958
85.0,3.0344,35.0188,0.7215,61.1643,29.674,6.9958
90.0,3.0359,34.7001,0.7236,60.9597,29.6478,7.0088
95.0,3.0134,34.8678,0.7452,61.5729,29.8341,7.0533
100.0,2.9967,34.6081,0.7248,60.1215,30.4413,7.0996
105.0,2.9748,33.7443,0.7263,58.3333,29.4446,7.1286
110.0,2.9554,33.8123,0.7208,58.5749,30.1272,7.1717
115.0,2.9268,33.0916,0.7046,57.8752,29.588,7.2009
120.0,2.9022,33.0101,0.7015,55.9949,29.8967,7.2255
125.0,2.8843,32.1451,0.6945,55.0012,30.2964,7.2332
130.0,2.8437,32.0436,0.6973,54.0339,30.0349,7.2419
135.0,2.8155,31.3057,0.6953,52.4197,29.73,7.2291
140.0,2.8001,31.1395,0.6802,51.2886,29.7893,7.1989
145.0,2.7697,30.7494,0.683,50.2552,30.098,7.1761
150.0,2.7437,30.1185,0.6644,47.4252,29.7008,7.1425
155.0,2.7044,29.1825,0.6329,46.7581,29.8928,7.1222
160.0,2.707,29.6265,0.6607,46.3982,29.8097,7.0701
165.0,2.675,28.8131,0.6469,46.042,29.6037,7.0532
170.0,2.6679,28.9141,0.6524,44.2615,30.2826,7.0281
175.0,2.6412,28.3013,0.6293,43.5484,29.899,7.0268
180.0,2.6251,28.0855,0.643,43.6003,29.2427,7.0284
185.0,2.5905,26.9386,0.6244,40.7199,29.818,7.0564
190.0,2.554,26.6258,0.6004,39.978,29.6401,7.0932
195.0,2.5304,26.1926,0.616,39.4466,30.0614,7.1237
200.0,2.5189,26.2827,0.6037,37.3762,29.6974,7.149
205.0,2.5132,25.7424,0.6306,37.3247,29.9139,7.1689
210.0,2.4946,25.8608,0.5959,35.7683,30.1113,7.1966
215.0,2.494,25.5245,0.6057,36.6748,30.2353,7.2043
220.0,2.4757,25.6601,0.6075,37.7963,29.7406,7.221
225.0,2.4711,25.3824,0.6127,35.5352,29.9648,7.2136
230.0,2.4739,25.7391,0.6224,38.0501,29.9227,7.1916
235.0,2.4949,25.777,0.5935,36.3284,29.8571,7.147
240.0,2.4786,25.1214,0.6021,34.5144,30.4288,7.1234
245.0,2.4861,25.7259,0.6236,36.9804,30.047,7.08
250.0,2.4767,25.4341,0.595,36.2804,29.5843,7.0479
255.0,2.4108,23.5726,0.6042,34.6721,30.0826,7.0564
260.0,2.4006,23.8892,0.5873,33.6294,30.3418,7.022
265.0,2.3947,24.5028,0.5874,33.0902,30.036,6.9933
270.0,2.3678,22.9475,0.5705,31.0603,29.3765,6.9937
275.0,2.3977,24.0746,0.5895,33.5259,29.6276,6.9522
280.0,2.3976,24.4492,0.5928,34.2096,30.0724,6.9476
285.0,2.4541,25.1757,0.6194,37.6048,29.5996,6.9167
290.0,2.4491,24.6774,0.5986,36.629,29.9201,6.9429
295.0,2.4477,24.6909,0.571,33.3178,30.0441,6.9746
300.0,2.4743,25.127,0.611,36.1097,29.6644,6.9899
305.0,2.4679,25.2674,0.6125,36.3708,29.9269,7.0291
310.0,2.5,26.088,0.6334,36.9424,29.1725,7.0389
315.0,2.5101,25.9346,0.6103,37.8344,29.759,7.0557
320.0,2.498,25.6294,0.621,36.8528,29.9724,7.0831
325.0,2.5076,25.2779,0.6102,37.2457,29.73,7.0838
330.0,2.5079,25.9907,0.6077,37.046,30.4416,7.0775
335.0,2.5227,25.6829,0.6114,36.6158,29.6536,7.055
340.0,2.5249,26.3811,0.6057,38.3034,29.8668,7.0307
345.0,2.5098,26.0774,0.6106,36.575,29.9664,7.0141
350.0,2.5363,26.4991,0.6358,40.5771,30.2464,6.9613
355.0,2.5671,26.429,0.6259,39.382,29.4795,6.9088
360.0,2.5965,27.0762,0.6342,40.8051,30.086,6.8619
365.0,2.6179,27.6632,0.6338,41.8622,29.7631,6.8302
370.0,2.6547,28.4307,0.6263,44.1019,29.4924,6.7967
375.0,2.6872,29.4303,0.6534,45.364,29.8444,6.78
380.0,2.6934,28.7833,0.6398,45.4522,29.7843,6.7945
385.0,2.7081,29.5007,0.6594,46.7934,29.6042,6.812
390.0,2.7287,29.8656,0.6521,46.9139,29.8031,6.8345
395.0,2.7469,29.825,0.6799,49.5096,29.7294,6.8639
400.0,2.7443,29.7044,0.6407,48.1135,29.8986,6.9134
405.0,2.7559,30.321,0.6578,48.0921,30.0803,6.9505
410.0,2.7804,30.6428,0.6738,51.2587,30.3511,6.9739
415.0,2.784,30.7543,0.688,51.6222,29.6764,7.0023
420.0,2.7746,30.4695,0.6533,48.5324,30.5384,7.0389
425.0,2.7821,30.9736,0.6738,48.9317,29.5224,7.0411
430.0,2.7551,30.1975,0.7043,48.7207,29.963,7.0656
435.0,2.7388,29.8944,0.6732,48.3713,30.1246,7.0674
440.0,2.7124,29.9476,0.643,46.5711,30.0123,7.0647
445.0,2.7136,29.3979,0.6464,46.3119,29.7424,7.0319
450.0,2.7101,29.2571,0.6678,46.8731,29.7974,7.0001
455.0,2.7029,29.1024,0.6551,46.6216,29.6775,6.971
460.0,2.6946,29.2923,0.641,46.1798,29.6092,6.946
465.0,2.684,29.07,0.6395,45.3746,29.9333,6.93
470.0,2.6798,29.2399,0.6409,45.9534,29.7864,6.9159
475.0,2.6641,28.4416,0.6215,44.5796,29.5141,6.9205
480.0,2.6458,28.705,0.6531,44.1252,29.9171,6.9386
485.0,2.6295,27.6441,0.6326,43.0335,29.7877,6.963
490.0,2.6265,27.7815,0.6125,42.2617,29.9447,6.985
495.0,2.6419,28.6839,0.644,42.8978,29.9381,6.9989
500.0,2.6316,27.7542,0.636,43.2091,29.6171,7.0369
505.0,2.6618,28.2762,0.6375,44.3434,29.728,7.0438
510.0,2.6596,28.4144,0.6511,44.388,30.0939,7.0748
515.0,2.6856,28.3151,0.6407,45.3943,30.0901,7.0777
520.0,2.6957,29.1712,0.6525,46.4518,29.9508,7.0853
525.0,2.7079,29.7155,0.644,46.3706,29.9899,7.0825
530.0,2.7285,29.4497,0.678,48.3052,30.2698,7.0642
535.0,2.7411,29.9166,0.6691,49.3486,29.7783,7.0404
540.0,2.7424,30.3458,0.6806,47.778,30.0269,7.0204
545.0,2.7614,30.3126,0.6577,49.1258,29.7948,6.9787
550.0,2.7431,30.1605,0.6658,48.9891,29.7416,6.9641
555.0,2.7308,29.2806,0.6547,46.5881,30.0214,6.9452
560.0,2.7045,28.9481,0.6532,47.0741,29.9083,6.9371
565.0,2.6808,29.0299,0.6467,45.6329,29.8691,6.9316
570.0,2.6555,28.0949,0.6499,44.4022,29.9677,6.9343
575.0,2.6744,29.2795,0.6471,45.9187,29.6362,6.9106
580.0,2.6554,29.2379,0.6235,43.9755,29.8057,6.9291
585.0,2.6063,27.7381,0.6121,41.7869,29.5758,6.9799
590.0,2.5827,27.0045,0.6294,41.9024,29.7645,7.0166
595.0,2.5692,26.9222,0.6319,41.7352,29.6896,7.0495
600.0,2.5751,27.1621,0.6131,39.7745,29.7896,7.0696
605.0,2.5635,26.9038,0.6346,40.9599,29.9573,7.104
610.0,2.541,26.2072,0.6149,39.9081,29.6426,7.1444
615.0,2.5466,26.8161,0.5959,39.3124,30.4003,7.1531
620.0,2.5488,26.2625,0.6456,40.2581,29.6438,7.1596
625.0,2.5654,26.7031,0.6415,40.1468,29.5958,7.1441
630.0,2.5553,26.4298,0.6285,40.6696,30.1783,7.1393
635.0,2.5124,25.6129,0.6229,37.2912,30.0622,7.1513
640.0,2.5229,26.063,0.6343,38.7784,29.9838,7.1108
645.0,2.5572,27.0594,0.6206,39.8462,29.9398,7.0465
650.0,2.5535,26.4261,0.6177,39.3974,29.7301,7.0121
655.0,2.5154,25.8178,0.6103,37.7741,29.4592,7.006
660.0,2.478,25.4201,0.6033,38.7696,29.6574,6.9996
665.0,2.4848,25.7227,0.605,37.144,29.4326,6.9637
670.0,2.4651,24.7703,0.6131,37.2158,29.8211,6.9558
675.0,2.4342,24.5735,0.5895,36.117,29.5299,6.9696
680.0,2.4479,24.6026,0.6053,37.0272,29.3644,6.9572
685.0,2.4247,24.9369,0.6001,33.7382,29.5084,6.9839
690.0,2.4155,23.9414,0.5989,35.3773,29.7219,7.0074
695.0,2.41,24.0262,0.5767,34.3899,29.5162,7.0363
700.0,2.4118,23.8203,0.5958,34.5207,29.4947,7.0617
705.0,2.4224,24.3722,0.598,33.8578,29.8042,7.0785
710.0,2.4276,24.0339,0.6115,33.7378,29.843,7.0993
715.0,2.4632,24.7516,0.617,36.0312,29.685,7.0919
720.0,2.4806,25.5244,0.6215,37.8458,29.712,7.0919
725.0,2.4755,24.8976,0.6296,37.2888,29.8918,7.1006
730.0,2.4833,25.5401,0.6227,36.7124,29.4612,7.0909
735.0,2.4987,25.7604,0.6131,37.7347,29.4467,7.0633
740.0,2.5002,25.7246,0.6288,38.0754,29.5825,7.0385
