timestamp,dac,voltage,current,rpm,temperature,do
0.0,1.63,10.7,0.51,9.5,30.0,7.6
5.0,1.65,11.1,0.51,9.0,30.1,7.6
10.0,1.65,10.8,0.49,9.5,29.9,7.6
15.0,1.65,11.1,0.49,9.0,30.1,7.6
20.0,1.66,10.4,0.51,11.0,29.8,7.5
25.0,1.68,11.1,0.51,8.5,29.7,7.5
30.0,1.67,11.1,0.5,9.0,29.8,7.5
35.0,1.67,11.0,0.5,11.5,29.6,7.5
40.0,1.7,11.6,0.51,10.0,29.8,7.5
45.0,1.7,11.5,0.5,10.5,30.1,7.5
50.0,1.7,11.6,0.5,12.0,30.1,7.5
55.0,1.72,12.0,0.51,11.5,29.5,7.4
60.0,1.7,12.1,0.51,11.5,30.0,7.4
65.0,1.73,12.1,0.5,12.0,29.8,7.4
70.0,1.74,12.2,0.51,10.5,29.6,7.4
75.0,1.75,12.8,0.51,13.5,29.8,7.4
80.0,1.74,12.5,0.52,12.5,29.7,7.4
85.0,1.76,12.6,0.52,13.0,29.4,7.4
90.0,1.76,12.5,0.51,12.0,29.8,7.4
95.0,1.76,12.7,0.5,13.5,29.9,7.4
100.0,1.77,12.7,0.51,12.0,29.8,7.3
105.0,1.77,12.9,0.51,13.0,29.8,7.3
110.0,1.78,13.4,0.51,14.0,29.9,7.3
115.0,1.78,13.3,0.51,14.5,29.8,7.3
120.0,1.78,12.6,0.5,11.5,29.8,7.3
125.0,1.82,13.6,0.52,14.5,29.8,7.3
130.0,1.83,14.2,0.5,13.5,30.0,7.2
135.0,1.85,14.5,0.53,14.0,29.7,7.2
140.0,1.86,14.5,0.51,14.5,29.7,7.2
145.0,1.84,14.7,0.51,15.5,29.9,7.2
150.0,1.85,14.0,0.53,14.5,30.1,7.2
155.0,1.87,14.7,0.53,15.0,29.9,7.2
160.0,1.87,14.6,0.54,17.5,29.8,7.2
165.0,1.89,15.0,0.52,16.0,29.6,7.2
170.0,1.88,14.8,0.52,15.0,29.7,7.2
175.0,1.89,14.7,0.53,16.0,29.6,7.2
180.0,1.88,15.2,0.52,14.0,30.0,7.2
185.0,1.87,15.2,0.53,14.5,29.7,7.2
190.0,1.87,14.9,0.52,14.5,30.3,7.2
195.0,1.88,14.8,0.52,15.5,29.8,7.2
200.0,1.86,14.1,0.52,16.5,29.6,7.2
205.0,1.87,14.7,0.53,17.5,30.0,7.2
210.0,1.88,14.4,0.51,15.5,29.5,7.2
215.0,1.88,14.3,0.54,16.0,29.8,7.2
220.0,1.88,14.3,0.52,17.0,30.3,7.2
225.0,1.89,14.6,0.5,15.0,29.9,7.1
230.0,1.89,14.6,0.54,17.0,30.4,7.1
235.0,1.9,15.2,0.52,17.0,29.9,7.1
240.0,1.9,15.5,0.53,16.0,29.7,7.1
245.0,1.91,15.2,0.52,15.5,30.0,7.1
250.0,1.9,15.0,0.54,17.0,29.9,7.1
255.0,1.9,15.2,0.53,16.0,29.9,7.1
260.0,1.9,14.8,0.53,17.0,30.1,7.1
265.0,1.92,15.7,0.52,15.0,29.3,7.1
270.0,1.91,15.4,0.53,17.0,29.2,7.2
275.0,1.89,15.2,0.52,17.0,29.9,7.2
280.0,1.9,15.1,0.53,17.5,29.9,7.1
285.0,1.92,15.9,0.51,15.5,29.7,7.1
290.0,1.93,15.5,0.52,17.5,30.2,7.1
295.0,1.94,15.5,0.54,18.0,30.1,7.1
300.0,1.94,16.0,0.52,16.5,30.3,7.1
305.0,1.93,15.7,0.53,17.5,30.0,7.1
310.0,1.95,16.2,0.52,18.0,29.6,7.1
315.0,1.97,15.9,0.52,17.5,29.8,7.1
320.0,1.97,17.0,0.52,18.5,30.0,7.0
325.0,1.97,16.1,0.53,18.5,30.4,7.0
330.0,2.01,17.3,0.53,19.5,29.4,7.0
335.0,2.02,17.1,0.54,20.0,29.7,7.0
340.0,1.99,16.6,0.54,21.0,30.0,7.0
345.0,1.99,17.3,0.53,19.5,29.7,7.0
350.0,2.0,16.7,0.53,18.5,30.0,7.0
355.0,2.0,17.3,0.54,20.5,30.0,7.0
360.0,2.0,17.0,0.53,19.0,29.7,7.0
365.0,1.99,16.9,0.53,19.0,29.8,7.0
370.0,2.01,17.2,0.53,20.0,29.8,7.0
