timestamp,dac,voltage,current,rpm,temperature,do
0.0,1.3466,5.4071,0.4908,5.319,29.3888,9.5696
5.0,1.3457,5.6289,0.4926,4.2723,29.758,9.5469
10.0,1.3468,5.5054,0.4912,4.0013,29.7099,9.5203
15.0,1.3485,5.77,0.4776,4.3413,29.5958,9.4852
20.0,1.3491,5.8347,0.48,4.4303,29.6857,9.4545
25.0,1.3483,5.3188,0.4736,5.8051,30.0074,9.4373
30.0,1.3498,6.0279,0.5042,5.0467,29.8644,9.4141
35.0,1.3524,5.4386,0.4912,5.158,29.665,9.372
40.0,1.3551,5.6637,0.4859,4.828,29.5231,9.3269
45.0,1.3517,5.8024,0.5005,5.5031,30.0267,9.3413
50.0,1.3543,5.7906,0.495,4.4177,29.782,9.3109
55.0,1.3552,5.2956,0.4968,5.8512,29.8653,9.2806
60.0,1.3561,5.807,0.4871,4.5156,30.0396,9.2406
65.0,1.3572,5.8343,0.4839,5.1913,30.065,9.2128
70.0,1.3586,5.4314,0.5067,5.1331,29.8613,9.2079
75.0,1.3614,5.9499,0.4888,5.2515,29.8324,9.1586
80.0,1.3657,5.9495,0.4814,5.118,29.5671,9.1124
85.0,1.3695,6.0087,0.4833,5.6098,29.4048,9.0695
90.0,1.364,5.8772,0.4944,5.894,30.0039,9.0887
95.0,1.3662,5.4138,0.4816,5.7839,30.045,9.049
100.0,1.3672,5.7903,0.4898,4.4778,30.0112,9.0344
105.0,1.3707,5.8777,0.4907,6.5606,29.766,9.0088
110.0,1.3711,6.3514,0.4812,6.6881,29.8271,8.9945
115.0,1.3744,5.8898,0.4961,5.6251,29.7939,8.9515
120.0,1.3807,5.609,0.4828,4.9942,29.4422,8.9068
125.0,1.3792,5.9912,0.4817,4.8225,29.869,8.8787
130.0,1.3758,5.5029,0.5118,5.868,30.4631,8.8602
135.0,1.3834,5.4291,0.4883,5.5172,29.5856,8.8549
140.0,1.3859,6.1409,0.4771,5.8615,29.7001,8.8147
145.0,1.3855,6.8607,0.4918,4.0963,29.8562,8.8019
150.0,1.3872,6.7826,0.481,5.8172,29.8555,8.7833
155.0,1.3917,6.0938,0.4904,5.9081,29.4975,8.7705
160.0,1.3898,6.1173,0.4899,5.5354,29.7924,8.7597
165.0,1.3921,6.0268,0.4879,4.9241,29.8297,8.7331
170.0,1.3971,6.5114,0.474,5.9626,29.446,8.7194
175.0,1.3995,6.1566,0.4762,4.6734,29.4451,8.6967
180.0,1.3962,6.646,0.507,5.363,30.0988,8.6647
