timestamp,dac,voltage,current,rpm,temperature,do
0.0,1.795,13.2778,0.5084,13.8597,29.7069,7.3
5.0,1.7848,13.1236,0.5096,13.8228,29.9315,7.3086
10.0,1.8072,13.8273,0.5144,12.868,29.3271,7.2959
15.0,1.7845,13.3851,0.5256,12.6156,30.1053,7.3026
20.0,1.8088,13.036,0.5113,13.3454,29.7755,7.2773
25.0,1.7957,13.1111,0.5186,13.9465,29.672,7.3
30.0,1.8039,13.8392,0.5183,14.2625,29.9843,7.2774
35.0,1.7999,13.4473,0.5128,13.575,29.6866,7.2929
40.0,1.7736,12.663,0.5101,13.0548,30.0332,7.3223
45.0,1.7777,12.5211,0.5126,13.0637,29.8128,7.3251
50.0,1.7659,13.32,0.509,14.3765,30.1086,7.3332
55.0,1.7878,13.2839,0.5063,15.1168,29.4512,7.3229
60.0,1.7819,12.866,0.5149,13.0397,29.4999,7.3301
65.0,1.793,13.3182,0.5042,13.36,29.7582,7.3032
70.0,1.7888,13.3573,0.5114,13.4426,29.7143,7.3103
75.0,1.7796,13.1523,0.5079,13.2097,29.9543,7.3163
80.0,1.7991,12.8722,0.5275,13.8569,29.9095,7.288
85.0,1.7857,13.4871,0.5121,12.7293,30.0591,7.3021
90.0,1.8069,13.3485,0.5202,13.259,29.7825,7.2799
95.0,1.8051,13.4744,0.5194,13.7958,29.5611,7.2895
100.0,1.7946,13.7333,0.4998,13.2923,29.9331,7.2928
105.0,1.7832,12.7714,0.5044,12.3675,30.2465,7.2996
110.0,1.7839,12.8518,0.5213,12.9704,29.6668,7.3195
115.0,1.7805,12.4754,0.519,12.5747,30.1334,7.3088
120.0,1.7861,13.079,0.522,11.6207,29.9523,7.3061
125.0,1.7912,13.6637,0.5157,14.8052,29.817,7.303
130.0,1.7811,13.0249,0.4993,13.2068,30.3548,7.2994
135.0,1.7851,13.228,0.5058,12.5647,30.0951,7.3022
140.0,1.7851,13.5766,0.4935,13.5527,29.8581,7.3108
145.0,1.7681,12.8295,0.5127,12.1919,30.381,7.3191
150.0,1.7858,12.8485,0.5075,12.9513,29.3687,7.3285
155.0,1.7834,13.5142,0.5137,13.095,29.7524,7.3185
160.0,1.7715,12.9884,0.5062,12.9926,29.9275,7.3306
165.0,1.8116,13.2386,0.5046,14.4047,29.7581,7.275
170.0,1.7945,13.6627,0.5139,12.7674,29.4845,7.3085
175.0,1.7803,13.0197,0.509,11.9429,29.9369,7.3158
180.0,1.7829,13.044,0.509,13.3703,29.6682,7.3218
185.0,1.7591,12.4012,0.4979,12.803,30.1995,7.3408
190.0,1.7796,13.0252,0.4899,12.1467,29.5302,7.3334
195.0,1.7648,12.4532,0.5172,11.831,29.842,7.3452
200.0,1.7806,12.3399,0.5142,12.7664,29.68,7.3263
205.0,1.7806,12.8492,0.5046,12.634,30.1791,7.3074
210.0,1.7792,12.7849,0.5122,11.9171,29.9604,7.3167
215.0,1.7836,13.3947,0.5195,13.3204,30.0722,7.3061
220.0,1.7818,13.179,0.5094,13.0931,29.5951,7.3258
225.0,1.7685,12.7488,0.4977,12.7808,29.9574,7.3346
230.0,1.7933,13.4673,0.5141,14.0762,29.6166,7.3081
235.0,1.7851,13.0287,0.5119,14.3336,29.7829,7.3139
240.0,1.7728,12.5585,0.5146,12.2043,30.2403,7.317
245.0,1.806,13.8471,0.5182,12.4321,29.2479,7.3011
250.0,1.767,13.1921,0.5093,12.7051,30.2333,7.3259
255.0,1.7578,12.1196,0.5167,13.0944,30.2427,7.3414
260.0,1.7794,12.6901,0.5059,13.0661,29.465,7.3362
265.0,1.7595,12.4581,0.5091,12.661,29.9857,7.3487
270.0,1.7649,13.0888,0.5131,12.9129,29.8027,7.3473
275.0,1.7637,12.5787,0.5234,12.9788,29.5875,7.3575
280.0,1.7433,12.7752,0.4943,11.0213,30.005,7.376
285.0,1.7433,12.4825,0.5175,12.8787,30.1687,7.3704
290.0,1.7367,12.3741,0.5058,11.5793,29.9584,7.3897
295.0,1.7339,12.4812,0.5151,11.9379,29.7596,7.4034
300.0,1.7392,12.293,0.4985,11.6698,30.0775,7.3822
305.0,1.7438,12.3166,0.5089,12.4825,30.1553,7.3704
310.0,1.7561,12.2619,0.526,14.1242,29.8082,7.3625
315.0,1.7606,12.6934,0.4978,12.894,29.8638,7.3525
320.0,1.761,12.6238,0.5145,12.1653,29.9347,7.3488
325.0,1.7444,11.9104,0.4924,11.4156,30.0937,7.3703
330.0,1.77,13.3179,0.5036,13.7708,29.4986,7.3514
335.0,1.7716,12.6756,0.5108,12.0956,29.5601,7.3457
340.0,1.7707,13.0142,0.5169,12.26,29.5217,7.3483
345.0,1.761,12.8057,0.5036,12.9732,29.9209,7.3492
350.0,1.7695,12.9123,0.5142,12.0461,29.5383,7.3499
355.0,1.7631,12.4734,0.5024,11.6199,30.0534,7.3408
360.0,1.766,12.4556,0.518,14.1068,30.0508,7.3358
365.0,1.7852,13.1872,0.5155,11.9097,29.7362,7.3165
370.0,1.7785,12.5918,0.5106,13.6889,29.9245,7.3195
375.0,1.7848,13.1102,0.498,12.3647,30.0519,7.305
380.0,1.8006,13.3915,0.5201,12.2413,29.854,7.2872
385.0,1.8033,13.3245,0.5113,13.1846,29.9736,7.2781
390.0,1.82,13.7997,0.5197,15.297,29.3105,7.2757
395.0,1.8109,13.4046,0.5061,13.0639,30.0395,7.2641
400.0,1.8368,13.7708,0.5165,15.2547,29.0858,7.2581
405.0,1.828,13.5753,0.5027,14.1497,29.7474,7.2482
410.0,1.8136,13.8589,0.5079,15.0582,30.1034,7.2569
415.0,1.8075,13.8711,0.4891,12.4465,29.4859,7.2877
420.0,1.8047,13.3885,0.5096,12.8634,29.8163,7.2815
425.0,1.8163,13.7452,0.5279,15.0424,29.4093,7.2781
430.0,1.7906,13.3842,0.5182,12.6723,29.9953,7.2963
435.0,1.8159,13.7683,0.5091,13.8094,29.8576,7.2638
440.0,1.8078,13.0116,0.5196,13.4989,30.1102,7.2659
445.0,1.8064,13.2409,0.5112,12.6886,29.9585,7.2732
450.0,1.8276,13.6473,0.5226,16.1307,29.8657,7.2453
455.0,1.8217,14.095,0.5041,11.4635,29.8897,7.252
460.0,1.8298,14.4373,0.5131,13.7615,29.3393,7.2591
465.0,1.8164,13.3609,0.5274,14.1566,30.2801,7.2474
470.0,1.8267,13.6412,0.5131,13.8967,29.7015,7.2511
