timestamp,dac,voltage,current,rpm,temperature,do
0.0,1.4562,7.6544,0.4708,6.2334,29.9015,8.362
5.0,1.4085,7.2971,0.4923,5.307,30.1213,8.4836
10.0,1.4548,7.4391,0.4577,4.6682,30.2151,8.3261
15.0,1.324,5.4328,0.5082,6.1934,29.9408,9.199
20.0,1.391,5.9634,0.4867,5.1324,29.7271,8.9969
25.0,1.4498,7.2089,0.4728,5.6737,29.7222,7.9137
30.0,1.4011,6.598,0.491,4.6912,29.5549,8.4781
35.0,1.373,5.8959,0.4927,6.2648,30.1278,8.6347
40.0,1.4183,6.1595,0.4978,5.8524,30.2083,8.6068
45.0,1.4563,6.3849,0.4638,6.1905,29.746,8.3844
50.0,1.5089,9.0767,0.499,7.3642,29.3967,7.8611
55.0,1.5299,8.9269,0.4767,7.4273,29.9163,8.0278
60.0,1.4394,6.4651,0.5048,7.5194,30.1473,8.414
65.0,1.5168,8.5602,0.4706,6.4675,29.9264,8.1285
70.0,1.3852,6.0421,0.4645,4.6843,30.0733,8.6989
75.0,1.4416,8.396,0.5159,8.5629,30.0399,8.1822
80.0,1.4219,7.2029,0.4946,5.9373,30.0754,8.389
85.0,1.5737,8.8273,0.48,6.3743,29.8867,8.0061
90.0,1.4387,6.6443,0.5018,6.3531,29.4973,8.4124
95.0,1.4036,5.7277,0.4711,4.9464,29.9376,8.6364
100.0,1.3547,5.135,0.4881,6.7137,30.0046,9.208
105.0,1.4393,5.7464,0.4958,5.3888,30.0109,8.4967
110.0,1.3742,6.4171,0.5044,5.1201,30.1279,8.6607
115.0,1.3777,5.7612,0.4971,4.3892,29.7821,8.8223
120.0,1.3522,5.866,0.4791,6.1568,30.076,8.7396
125.0,1.4492,6.7968,0.4775,4.7384,29.5446,8.3729
130.0,1.3991,7.3404,0.4807,5.1147,29.6383,8.6475
135.0,1.3921,6.3118,0.4823,4.08,29.7555,8.6928
140.0,1.4268,6.2807,0.5019,4.6396,30.0352,8.4585
145.0,1.4222,7.0843,0.4799,6.5747,29.914,8.4346
150.0,1.459,7.4375,0.479,4.0307,29.5765,8.379
155.0,1.4176,7.0456,0.5075,6.5246,29.4501,8.4206
160.0,1.4543,6.9685,0.4775,5.0763,29.7587,8.3866
165.0,1.3746,5.5173,0.4937,4.4512,30.2178,8.8717
170.0,1.3722,5.6669,0.472,4.4076,30.1302,8.9435
175.0,1.4257,7.0314,0.4953,4.1257,29.647,8.7879
180.0,1.4027,6.6095,0.5062,4.651,29.8283,8.6659
185.0,1.4096,6.8291,0.5035,5.7441,28.982,8.5919
190.0,1.4004,6.2689,0.4881,5.324,29.4151,8.5234
195.0,1.3487,5.916,0.5005,4.1802,29.9706,9.0576
200.0,1.4762,8.3021,0.4936,6.2717,29.6607,8.1008
205.0,1.4169,6.6563,0.4641,5.0979,30.2078,8.5449
210.0,1.3644,6.0503,0.4881,6.4518,30.1322,8.7059
215.0,1.3965,5.4624,0.4602,3.4436,30.2293,8.8586
220.0,1.391,6.3455,0.4922,4.4175,29.5996,8.6025
225.0,1.4315,5.9634,0.4948,4.8541,30.0704,8.3119
230.0,1.3967,6.0179,0.474,5.1783,29.6755,8.8023
235.0,1.3649,5.3943,0.4835,6.6918,29.6111,9.1029
240.0,1.4046,7.113,0.4756,5.1066,30.584,8.7592
245.0,1.4163,6.3569,0.4804,5.6775,29.5577,8.5517
250.0,1.4322,6.7569,0.4805,5.6557,29.2703,8.4871
255.0,1.3633,5.1756,0.483,4.7077,29.8131,9.1263
260.0,1.4361,7.2778,0.5013,6.1286,29.8977,8.2882
265.0,1.3454,5.5782,0.4903,4.8045,30.3943,8.9053
270.0,1.4358,7.5135,0.4941,6.5494,30.2362,8.2386
275.0,1.3584,6.204,0.4881,6.253,30.3478,9.0648
280.0,1.404,5.9167,0.4956,5.2646,30.1435,8.6684
285.0,1.4696,8.1201,0.4713,6.9123,29.7786,8.2237
290.0,1.4184,7.2065,0.4877,5.31,29.2375,8.4005
295.0,1.3714,6.0795,0.4919,4.6677,29.9867,8.8617
300.0,1.4327,6.9728,0.4856,7.1896,30.0082,8.6395
305.0,1.4229,5.4423,0.4821,5.2995,29.7376,8.7004
310.0,1.5176,8.4627,0.5073,10.582,29.9288,8.0176
315.0,1.3843,6.4495,0.4703,6.3063,30.5559,8.7704
320.0,1.4742,8.2511,0.4796,7.6191,30.2844,8.0793
325.0,1.3723,5.14,0.4943,6.489,30.375,8.8101
330.0,1.4074,7.0212,0.4847,5.0019,29.481,8.7315
335.0,1.3913,6.8616,0.4944,6.1047,29.8414,8.8424
340.0,1.368,6.5174,0.5018,4.5405,29.9766,8.7809
345.0,1.3852,5.6505,0.498,5.4171,29.9493,8.6546
350.0,1.463,6.7671,0.4929,7.0057,30.1244,8.0981
